game_id,move_number,is_white,player_elo,san_move,uci_move,centipawn_loss,is_top_engine_move,is_capture,is_check,is_cheating,move_type,material_balance,game_phase,white_center_control,black_center_control,total_pieces
0,11,True,1001,O-O,e1g1,0.0,True,False,False,True,stockfish,0,middlegame,4,3,28
0,11,False,-1,Rc8,a8c8,0.0,True,False,False,True,stockfish,0,middlegame,4,3,28
0,12,True,1001,Qe2,d1e2,0.0,True,False,False,True,stockfish,0,middlegame,4,3,28
0,12,False,-1,c5,c7c5,0.0,True,False,False,True,stockfish,0,middlegame,4,3,28
0,13,True,1001,dxc5,d4c5,0.0,True,True,False,True,stockfish,0,middlegame,4,4,28
0,13,False,-1,Rxc5,c8c5,0.0,True,True,False,True,stockfish,1,middlegame,4,3,27
0,14,True,1001,e4,e3e4,0.0,True,False,False,True,stockfish,0,middlegame,4,3,26
0,14,False,-1,e5,e6e5,0.0,False,False,False,False,maia,0,middlegame,4,3,26
0,15,True,1001,Be3,f4e3,2.0,True,False,False,True,stockfish,0,middlegame,4,4,26
0,15,False,-1,Rc4,c5c4,0.0,False,False,False,False,maia,0,middlegame,4,4,26
0,16,True,1001,Bb3,c2b3,0.0,False,False,False,False,maia,0,middlegame,4,4,26
0,16,False,-1,Rc7,c4c7,11.0,True,False,False,True,stockfish,0,middlegame,4,4,26
0,17,True,1001,Rfd1,f1d1,0.0,True,False,False,True,stockfish,0,middlegame,4,4,26
0,17,False,-1,Qc8,d8c8,0.0,True,False,False,False,maia,0,middlegame,4,4,26
0,18,True,1001,Rac1,a1c1,1.0,True,False,False,False,maia,0,middlegame,4,4,26
0,18,False,-1,Bxe4,b7e4,0.0,True,True,False,False,maia,0,middlegame,4,4,26
0,19,True,1001,Nxe4,c3e4,0.0,True,True,False,True,stockfish,-1,middlegame,4,4,25
0,19,False,-1,Nxe4,f6e4,0.0,True,True,False,False,maia,2,middlegame,3,4,24
0,20,True,1001,Rxc7,c1c7,0.0,False,True,False,False,maia,-1,middlegame,3,2,23
0,20,False,-1,Qxc7,c8c7,0.0,True,True,False,False,maia,4,middlegame,3,2,22
0,21,True,1001,Nxe5,f3e5,19.0,False,True,False,True,stockfish,-1,middlegame,3,2,21
0,21,False,-1,Nxe5,d7e5,3.0,True,True,False,False,maia,0,middlegame,2,1,20
0,22,True,1001,Bf4,e3f4,0.0,True,False,False,True,stockfish,-3,middlegame,2,1,19
0,22,False,-1,Bd6,e7d6,6.0,True,False,False,False,maia,-3,middlegame,4,1,19
0,23,True,1001,Qxe4,e2e4,7.0,True,True,False,True,stockfish,-3,middlegame,4,1,19
0,23,False,-1,Re8,f8e8,0.0,True,False,False,False,maia,0,middlegame,3,1,18
0,24,True,1001,Bxe5,f4e5,0.0,False,True,False,False,maia,0,middlegame,3,1,18
0,24,False,-1,Bxe5,d6e5,0.0,True,True,False,False,maia,3,middlegame,3,1,17
0,25,True,1001,f4,f2f4,0.0,True,False,False,True,stockfish,0,middlegame,3,2,16
0,25,False,-1,a5,a6a5,0.0,True,False,False,True,stockfish,0,middlegame,3,2,16
0,26,True,1001,fxe5,f4e5,0.0,True,True,False,False,maia,0,middlegame,3,2,16
0,26,False,-1,a4,a5a4,0.0,True,False,False,True,stockfish,3,middlegame,3,1,15
0,27,True,1001,Bd5,b3d5,11.0,True,False,False,True,stockfish,3,middlegame,3,1,15
0,27,False,-1,Rxe5,e8e5,1.0,True,True,False,False,maia,3,middlegame,4,1,15
